year,month,region,subsidiary,product,brand,model,model_group,Capa,feature,sales_qty,sales_price,mon
2016,NOV,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,319,275566,11
2016,DEC,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,364,301157,12
2017,JAN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,66,53670,1
2017,FEB,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,59,49445,2
2017,MAR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,166,136125,3
2017,APR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0895,MODELG0876,-,FEATURE1,117,97139,4
2014,JAN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0232,MODELG0232,184,FEATURE1,1,676,1
2014,JAN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0228,MODELG0228,164,FEATURE1,45,39153,1
2014,JAN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0222,MODELG0222,153,FEATURE1,4,2959,1
2014,JAN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0217,MODELG0217,134,FEATURE1,1,477,1
2014,JAN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0359,MODELG0359,132,FEATURE1,19,14028,1
2014,JAN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0218,MODELG0218,134,FEATURE1,1,572,1
2014,JAN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0241,MODELG0241,174,FEATURE1,1,1081,1
2014,JAN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0360,MODELG0360,152,FEATURE1,21,12643,1
2014,JAN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0229,MODELG0229,164,FEATURE1,25,26312,1
2014,JAN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0357,MODELG0357,132,FEATURE1,4,1830,1
2014,JAN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0362,MODELG0362,123,FEATURE1,36,28190,1
2014,JAN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0230,MODELG0230,158,FEATURE1,1,585,1
2014,JAN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0268,MODELG0268,192,FEATURE1,1,1398,1
2014,JAN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0365,MODELG0365,137,FEATURE1,104,80031,1
2014,JAN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0314,MODELG0314,195,FEATURE1,23,21789,1
2014,JAN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0234,MODELG0234,144,FEATURE1,86,77457,1
2014,JAN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0236,MODELG0236,124,FEATURE1,14,12706,1
2014,JAN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0276,MODELG0276,172,FEATURE1,20,19786,1
2014,JAN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0278,MODELG0278,154,FEATURE1,1,1028,1
2014,JAN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0235,MODELG0235,144,FEATURE1,1,658,1
2014,JAN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0221,MODELG0221,129,FEATURE1,1,507,1
2014,FEB,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0228,MODELG0228,164,FEATURE1,50,41804,2
2014,FEB,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0222,MODELG0222,153,FEATURE1,9,7915,2
2014,FEB,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0217,MODELG0217,134,FEATURE1,1,378,2
2014,FEB,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0359,MODELG0359,132,FEATURE1,16,11722,2
2014,FEB,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0218,MODELG0218,134,FEATURE1,2,1348,2
2014,FEB,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0360,MODELG0360,152,FEATURE1,20,12290,2
2014,FEB,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0229,MODELG0229,164,FEATURE1,13,13278,2
2014,FEB,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0357,MODELG0357,132,FEATURE1,7,2632,2
2014,FEB,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0362,MODELG0362,123,FEATURE1,75,58105,2
2014,FEB,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0231,MODELG0231,184,FEATURE1,1,293,2
2014,FEB,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0365,MODELG0365,137,FEATURE1,78,59277,2
2014,FEB,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0314,MODELG0314,195,FEATURE1,23,22517,2
2014,FEB,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0234,MODELG0234,144,FEATURE1,69,60234,2
2014,FEB,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0236,MODELG0236,124,FEATURE1,13,11648,2
2014,FEB,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0276,MODELG0276,172,FEATURE1,22,20957,2
2014,FEB,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0278,MODELG0278,154,FEATURE1,2,2046,2
2014,MAR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0228,MODELG0228,164,FEATURE1,66,56370,3
2014,MAR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0222,MODELG0222,153,FEATURE1,1,825,3
2014,MAR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0359,MODELG0359,132,FEATURE1,20,14862,3
2014,MAR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0218,MODELG0218,134,FEATURE1,1,1031,3
2014,MAR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0241,MODELG0241,174,FEATURE1,1,1238,3
2014,MAR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0360,MODELG0360,152,FEATURE1,2,1031,3
2014,MAR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0229,MODELG0229,164,FEATURE1,12,12442,3
2014,MAR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0362,MODELG0362,123,FEATURE1,84,74762,3
2014,MAR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0365,MODELG0365,137,FEATURE1,80,62212,3
2014,MAR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0314,MODELG0314,195,FEATURE1,21,20957,3
2014,MAR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0234,MODELG0234,144,FEATURE1,57,53726,3
2014,MAR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0236,MODELG0236,124,FEATURE1,13,12341,3
2014,MAR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0276,MODELG0276,172,FEATURE1,1,1046,3
2014,MAR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0278,MODELG0278,154,FEATURE1,2,1554,3
2014,APR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0228,MODELG0228,164,FEATURE1,42,36005,4
2014,APR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0222,MODELG0222,153,FEATURE1,14,15273,4
2014,APR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0359,MODELG0359,132,FEATURE1,19,14186,4
2014,APR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0241,MODELG0241,174,FEATURE1,1,1626,4
2014,APR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0229,MODELG0229,164,FEATURE1,15,15653,4
2014,APR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0362,MODELG0362,123,FEATURE1,89,78683,4
2014,APR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0230,MODELG0230,158,FEATURE1,1,520,4
2014,APR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0227,MODELG0227,164,FEATURE1,1,578,4
2014,APR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0365,MODELG0365,137,FEATURE1,45,38931,4
2014,APR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0314,MODELG0314,195,FEATURE1,19,19231,4
2014,APR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0234,MODELG0234,144,FEATURE1,43,41426,4
2014,APR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0236,MODELG0236,124,FEATURE1,10,9032,4
2014,APR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0276,MODELG0276,172,FEATURE1,4,3586,4
2014,APR,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0279,MODELG0279,154,FEATURE1,1,674,4
2014,MAY,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0232,MODELG0232,184,FEATURE1,1,812,5
2014,MAY,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0228,MODELG0228,164,FEATURE1,1,862,5
2014,MAY,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0222,MODELG0222,153,FEATURE1,2,1239,5
2014,MAY,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0217,MODELG0217,134,FEATURE1,1,484,5
2014,MAY,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0359,MODELG0359,132,FEATURE1,24,18169,5
2014,MAY,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0241,MODELG0241,174,FEATURE1,2,2462,5
2014,MAY,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0229,MODELG0229,164,FEATURE1,12,12527,5
2014,MAY,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0362,MODELG0362,123,FEATURE1,123,95175,5
2014,MAY,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0268,MODELG0268,192,FEATURE1,1,1413,5
2014,MAY,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0365,MODELG0365,137,FEATURE1,71,58174,5
2014,MAY,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0233,MODELG0233,181,FEATURE1,1,565,5
2014,MAY,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0314,MODELG0314,195,FEATURE1,72,71760,5
2014,MAY,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0234,MODELG0234,144,FEATURE1,36,33601,5
2014,MAY,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0236,MODELG0236,124,FEATURE1,27,23413,5
2014,MAY,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0276,MODELG0276,172,FEATURE1,8,6753,5
2014,MAY,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0278,MODELG0278,154,FEATURE1,4,3656,5
2014,MAY,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0221,MODELG0221,129,FEATURE1,1,471,5
2014,JUN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0232,MODELG0232,184,FEATURE1,1,904,6
2014,JUN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0228,MODELG0228,164,FEATURE1,46,39193,6
2014,JUN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0222,MODELG0222,153,FEATURE1,1,480,6
2014,JUN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0359,MODELG0359,132,FEATURE1,22,16262,6
2014,JUN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0360,MODELG0360,152,FEATURE1,1,543,6
2014,JUN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0229,MODELG0229,164,FEATURE1,11,11264,6
2014,JUN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0362,MODELG0362,123,FEATURE1,36,28032,6
2014,JUN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0268,MODELG0268,192,FEATURE1,5,6993,6
2014,JUN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0365,MODELG0365,137,FEATURE1,83,68084,6
2014,JUN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0314,MODELG0314,195,FEATURE1,36,36225,6
2014,JUN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0234,MODELG0234,144,FEATURE1,57,53091,6
2014,JUN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0277,MODELG0277,172,FEATURE1,1,665,6
2014,JUN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0236,MODELG0236,124,FEATURE1,34,32324,6
2014,JUN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0276,MODELG0276,172,FEATURE1,37,37094,6
2014,JUN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0278,MODELG0278,154,FEATURE1,4,4108,6
2014,JUN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0315,MODELG0315,195,FEATURE1,1,1870,6
2014,JUN,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0358,MODELG0358,132,FEATURE1,1,485,6
2014,JUL,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0232,MODELG0232,184,FEATURE1,2,1829,7
2014,JUL,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0228,MODELG0228,164,FEATURE1,3,1557,7
2014,JUL,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0222,MODELG0222,153,FEATURE1,5,3352,7
2014,JUL,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0359,MODELG0359,132,FEATURE1,28,20502,7
2014,JUL,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0241,MODELG0241,174,FEATURE1,2,2148,7
2014,JUL,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0360,MODELG0360,152,FEATURE1,1,721,7
2014,JUL,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0229,MODELG0229,164,FEATURE1,11,11296,7
2014,JUL,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0362,MODELG0362,123,FEATURE1,25,19968,7
2014,JUL,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0230,MODELG0230,158,FEATURE1,1,549,7
2014,JUL,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0227,MODELG0227,164,FEATURE1,2,1147,7
2014,JUL,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0220,MODELG0220,129,FEATURE1,1,409,7
2014,JUL,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0051,MODELG0051,184,FEATURE1,1,806,7
2014,JUL,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0365,MODELG0365,137,FEATURE1,89,77836,7
2014,JUL,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0233,MODELG0233,181,FEATURE1,1,605,7
2014,JUL,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0314,MODELG0314,195,FEATURE1,66,64374,7
2014,JUL,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0234,MODELG0234,144,FEATURE1,121,111680,7
2014,JUL,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0236,MODELG0236,124,FEATURE1,31,28862,7
2014,JUL,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0276,MODELG0276,172,FEATURE1,54,55671,7
2014,JUL,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0278,MODELG0278,154,FEATURE1,4,4115,7
2014,JUL,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0223,MODELG0223,150,FEATURE1,1,421,7
2014,AUG,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0228,MODELG0228,164,FEATURE1,106,88595,8
2014,AUG,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0359,MODELG0359,132,FEATURE1,61,44597,8
2014,AUG,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0229,MODELG0229,164,FEATURE1,11,11043,8
2014,AUG,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0362,MODELG0362,123,FEATURE1,8,6097,8
2014,AUG,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0365,MODELG0365,137,FEATURE1,38,31374,8
2014,AUG,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0050,MODELG0050,153,FEATURE1,1,539,8
2014,AUG,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0314,MODELG0314,195,FEATURE1,87,85148,8
2014,AUG,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0234,MODELG0234,144,FEATURE1,99,86661,8
2014,AUG,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0277,MODELG0277,172,FEATURE1,1,532,8
2014,AUG,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0236,MODELG0236,124,FEATURE1,38,36887,8
2014,AUG,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0276,MODELG0276,172,FEATURE1,7,7174,8
2014,AUG,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0278,MODELG0278,154,FEATURE1,4,3600,8
2014,AUG,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0235,MODELG0235,144,FEATURE1,1,606,8
2014,AUG,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0221,MODELG0221,129,FEATURE1,1,455,8
2014,AUG,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0356,MODELG0356,124,FEATURE1,11,4245,8
2014,SEP,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0228,MODELG0228,164,FEATURE1,2,1185,9
2014,SEP,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0359,MODELG0359,132,FEATURE1,28,20122,9
2014,SEP,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0218,MODELG0218,134,FEATURE1,4,2837,9
2014,SEP,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0363,MODELG0363,141,FEATURE1,1,355,9
2014,SEP,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0229,MODELG0229,164,FEATURE1,11,10817,9
2014,SEP,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0362,MODELG0362,123,FEATURE1,18,14165,9
2014,SEP,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0224,MODELG0224,150,FEATURE1,1,385,9
2014,SEP,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0365,MODELG0365,137,FEATURE1,91,71785,9
2014,SEP,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0314,MODELG0314,195,FEATURE1,56,52447,9
2014,SEP,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0234,MODELG0234,144,FEATURE1,111,99018,9
2014,SEP,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0277,MODELG0277,172,FEATURE1,1,542,9
2014,SEP,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0236,MODELG0236,124,FEATURE1,33,28620,9
2014,SEP,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0276,MODELG0276,172,FEATURE1,40,40421,9
2014,SEP,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0278,MODELG0278,154,FEATURE1,8,7949,9
2014,SEP,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0315,MODELG0315,195,FEATURE1,1,1312,9
2014,OCT,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0232,MODELG0232,184,FEATURE1,1,881,10
2014,OCT,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0228,MODELG0228,164,FEATURE1,1,548,10
2014,OCT,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0359,MODELG0359,132,FEATURE1,19,12882,10
2014,OCT,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0229,MODELG0229,164,FEATURE1,11,10635,10
2014,OCT,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0362,MODELG0362,123,FEATURE1,59,37811,10
2014,OCT,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0365,MODELG0365,137,FEATURE1,81,58666,10
2014,OCT,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0314,MODELG0314,195,FEATURE1,43,38311,10
2014,OCT,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0234,MODELG0234,144,FEATURE1,156,134614,10
2014,OCT,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0236,MODELG0236,124,FEATURE1,83,72925,10
2014,OCT,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0276,MODELG0276,172,FEATURE1,11,9814,10
2014,OCT,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0278,MODELG0278,154,FEATURE1,10,9352,10
2014,OCT,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0221,MODELG0221,129,FEATURE1,1,428,10
2014,OCT,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0312,MODELG0312,169,FEATURE1,1,1277,10
2014,NOV,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0222,MODELG0222,153,FEATURE1,2,1248,11
2014,NOV,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0359,MODELG0359,132,FEATURE1,5,3182,11
2014,NOV,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0229,MODELG0229,164,FEATURE1,11,10522,11
2014,NOV,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0362,MODELG0362,123,FEATURE1,17,12367,11
2014,NOV,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0231,MODELG0231,184,FEATURE1,1,319,11
2014,NOV,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0365,MODELG0365,137,FEATURE1,96,78087,11
2014,NOV,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0314,MODELG0314,195,FEATURE1,102,93915,11
2014,NOV,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0234,MODELG0234,144,FEATURE1,113,95157,11
2014,NOV,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0236,MODELG0236,124,FEATURE1,57,48952,11
2014,NOV,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0276,MODELG0276,172,FEATURE1,53,48129,11
2014,NOV,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0278,MODELG0278,154,FEATURE1,9,8435,11
2014,NOV,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0312,MODELG0312,169,FEATURE1,1,1266,11
2014,DEC,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0217,MODELG0217,134,FEATURE1,16,14491,12
2014,DEC,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0359,MODELG0359,132,FEATURE1,2,1277,12
2014,DEC,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0241,MODELG0241,174,FEATURE1,1,1059,12
2014,DEC,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0360,MODELG0360,152,FEATURE1,12,7236,12
2014,DEC,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0229,MODELG0229,164,FEATURE1,11,10512,12
2014,DEC,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0362,MODELG0362,123,FEATURE1,17,12113,12
2014,DEC,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0365,MODELG0365,137,FEATURE1,63,47542,12
2014,DEC,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0314,MODELG0314,195,FEATURE1,28,24798,12
2014,DEC,Europe,SUBSIDIARY1,PRODUCT1,BRAND1,MODEL0234,MODELG0234,144,FEATURE1,118,98961,12
