REGIONID,PRODUCTGROUP,YEARWEEK,VOLUME
A01,ST0001,201615,678467
A01,ST0002,201615,143180
A01,ST0001,201613,886427
A01,ST0002,201613,135788
A01,ST0001,201611,1011581
A01,ST0002,201611,150915
A01,ST0001,201609,635412
A01,ST0001,201616,658270
A01,ST0002,201616,137927
A01,ST0002,201609,154149
A01,ST0001,201614,739977
A01,ST0002,201614,148835
A01,ST0001,201641,746061
A01,ST0002,201412,151750
A01,ST0001,201420,645626
A01,ST0002,201420,125863
